iter	SMAPE	RMSE	MAPE	MAE
384	39.02566275	1057.722953	0.5447433804	746.7972793
385	39.02316566	1057.713266	0.5447549099	746.7956861
386	39.0109503	1057.592424	0.5446993865	746.7726404
387	39.007201	1057.575969	0.5447387212	746.7830752
388	39.00488246	1057.515282	0.5446997423	746.7302574
389	39.01124023	1057.489545	0.5446940223	746.7379599
390	39.01375547	1057.487926	0.5446690878	746.7314476
391	39.00261381	1057.453186	0.5446549441	746.7223348
392	39.00663439	1057.350231	0.5446644896	746.6690402
393	39.00910174	1057.289113	0.5446660859	746.660232
394	39.02700356	1057.251053	0.5447406655	746.6311079
395	39.028409	1057.215248	0.5447548082	746.607883
396	39.02796782	1057.201025	0.5447574614	746.5968832
397	39.03531448	1057.17712	0.5446564779	746.5583638
398	39.01512092	1057.160894	0.5445430474	746.5400337
399	39.01732727	1057.002237	0.5445735668	746.4349177
400	39.0127001	1056.958148	0.5445948905	746.4269361
401	39.0113727	1056.943517	0.5446014057	746.4164528
402	39.00888407	1056.896466	0.5445586913	746.377858
403	39.01147144	1056.826352	0.5446176893	746.3159115
404	39.0162228	1056.695507	0.5445277836	746.1965543
405	39.00029793	1056.679359	0.5445420108	746.1791195
406	38.99109448	1056.655191	0.5445281206	746.174411
407	38.98084939	1056.537078	0.544500151	746.1205829
408	38.98299887	1056.437653	0.5446397661	746.0485681
409	38.98893489	1056.408429	0.5446156803	746.0141765
410	39.01467938	1056.318696	0.5446076631	745.9585688
411	39.01233829	1056.247394	0.5447063554	745.911932
412	39.01328653	1056.223854	0.5447322012	745.8977839
413	39.01570937	1056.101515	0.5446398982	745.8228438
414	39.02498319	1056.019163	0.5447051657	745.7802699
415	39.03249532	1055.792857	0.5448621217	745.6558871
416	39.02866841	1055.651074	0.544812532	745.5780524
417	39.02790585	1055.50414	0.544812393	745.5171243
418	39.0252904	1055.472225	0.5448418209	745.5058319
419	39.00448044	1055.462444	0.5448211727	745.4987991
420	38.9906536	1055.406522	0.5448230606	745.4558623
421	38.98992761	1055.382518	0.5448162275	745.4317718
422	38.98890892	1055.33659	0.5448438984	745.4234838
423	38.98763455	1055.333097	0.544866201	745.4230176
424	38.98078375	1055.308366	0.5448632144	745.3936579
425	38.96038812	1055.277284	0.5447685137	745.3571275
426	38.96095143	1055.231589	0.5447243855	745.3003689
427	38.95134962	1055.066405	0.5446125227	745.1789926
428	38.9772071	1054.99539	0.5447621779	745.1319958
429	38.9789556	1054.968382	0.544760314	745.1356375
430	38.99138617	1054.966433	0.5447035247	745.1277972
431	38.99017481	1054.966325	0.5447076112	745.126722
